"C8 BM65,257 TA5 U35 TA0 L6 U90 TA20 U65 R25 D65 TA35 D20 TA145 D20 TA160 D65 L25 U65 TA0 D90 L75 BM85,150 P16,8 C8 BM65,257 R58 TA355 U35 BM105,216 TA0 BM80,250 P8,8 C7 BM93,257 U35 BM94,119 P7,8 BM94,139 P14,8 BM32,63 P7,8 BM152,63 P7,8"
"C8 BM110,100 TA165 L42 TA0 D84 L20 D25 L78 U50 BM110,100 TA145 U20 TA35 U20 TA0 TA15 L42 TA75 L72 D45 R25 U25 TA350 U15 BR5 P15,8 C8 BM65,257 TA5 U40 BM65,257 TA0 R55 TA355 U40 BG10 P8,8 TA0 C7 BM93,257 U35 BM90,80 P7,8 BM82,165 P7,8 BM141,193 P7,8 BM95,113 P14,8"
"C8 BR4 BU5 TA45 U12 L5 D9 C3 E3 C8 BM110,100 TA165 L42 TA0 D50 TA65 L10 U40 R20 D18 TA0 U20 BM110,100 TA145 U20 TA35 U20 TA20 L42 TA0 D85 R16 D22 R76 U56 BL30 P16,8 C8 BM65,257 TA5 U40 BM65,257 TA0 R55 TA355 U40 BG10 P8,8 TA0 C7 BM93,257 U35 BM90,80 P7,8 BM47,199 P7,8 BM99,141 P7,8 BM95,113 P14,8"
"C8 BM110,100 TA145 U20 TA35 U20 TA20 L42 TA0 D85 R16 D22 R76 U22 R16 U85 TA337 L40 BM65,257 TA5 U40 BM65,257 TA0 R55 TA355 U40 BG10 P8,8 TA0 C7 BM93,257 U35 BM139,198 P7,8 BM47,199 P7,8 BM95,90 P7,8 BM99,170 P15,8 BM95,113 P14,8"
"C8 BM110,100 TA145 U20 TA35 U20 BM110,100 TA165 L42 TA0 D84 L20 D25 L20 M-45,-30 BM65,125 TA350 D30 TA10 D38 L22 U45 TA350 U43 TA15 R38 BM125,217 TA0 D40 L33 U48 TA40 L70 U24 R45 BM95,90 P7,8 BM141,194 P7,8 BM58,195 P7,8 BM120,220 P8,8 BM100,130 P15,8 BM104,105 P14,8"
"C4 BM85,63 R5 U2 R15 D2 R5 D2 L5 D2 L15 U2 L5 U2 BR15 P14,4 BD2 BL18 C4 D100 R5 U100 L5 BF3 P14,4 BH3 BR27 C4 D100 R5 U100 L5 BF3 P14,4 BE3 BU2 BL2 C4 R5 U2 R15 D2 R5 D2 L5 D2 L15 U2 L5 U2 BR15 P14,4 BR7 BD2 C4 D100 R5 U100 L5 BF3 P14,4 C15 BM5,165 R165 C15 BM5,223 R165 U2 L165 D2 BU1 BR3 P14,15"
"C4 BM85,63 TA55 R5 U2 R15 D2 R5 D2 L5 D2 L15 U2 L5 U2 BR15 P14,4 TA 35 BH60 BD50 BL10 C4 D100 R5 U100 L5 BF3 P14,4 BM115,65 TA0 C4 D100 R5 U100 L5 BF3 P14,4 BE3 BU2 BL2 C4 R5 U2 R15 D2 R5 D2 L5 D2 L15 U2 L5 U2 BR15 P14,4 BR7 BD2 C4 D100 R5 U100 L5 BF3 P14,4 C15 BM5,165 R165 C15 BM5,223 R165 U2 L165 D2 BU1 BR3 P14,15 C8 BM35,257"
" cover drives "
" off-drives "
" on-drives "
" pulls "
" sweeps "
" leg glances "
" edges "
" cuts "
" defends "
" pushes "
" fends off "
" blocks "
" plays "
" misses the ball which comes off the pads "
" pulls the ball over mid-wicket and over the boundary for 6 runs"
" hoists the ball over the bowler and in to the stands for 6 runs"
" cuts the ball over the covers for 6 runs"
"a short pitched delivery "
"a good length delivery "
"an over-pitched delivery "
"a full toss "
"a slower delivery "
"a Yorker "
"straying down the leg side"
"on a good line"
"outside the off-stump"
"LBW appeal turned down to a "
"leg break pitching outside leg stump"
"straight ball hitting the batsman on the knee roll"
"delivery possibly missing off stump"
"A good "
"A bad "
"throw from the fielder at "
" hits "
" misses "
"the stumps"
"...and is dropped at "
"cover point"
"mid-off"
"mid-on"
"mid-wicket"
"square leg"
"short leg"
"slip"
"gulley"
"extra cover"
"long off"
"long on"
"deep mid-wicket"
"deep square leg"
"long leg"
"third man"
"cover"
0
2
2
3
2
4
0
4
0
1
3
5
0
1
0
1

