245
501
91
491
165
461
235
536
255
400
195
390
140
"Intimidating"
"Close in fielders try to intimidate the batsman into a costly mistake    "
416
95
414
249
251
195
283
273
311
135
459
235
438
245
501
91
491
163
477
223
571
195
400
195
390
140
"Highly Attacking"
"Denies the batsman quick singles pressuring him into risky shots         "
416
95
414
249
251
195
341
290
331
225
346
85
443
245
571
165
491
133
491
203
519
271
400
195
390
140
"WEST INDIES"
"C7 BM180,80 L30 TA15 L20 TA45 D20 TA5 R25 TA350 U18 BM170,87 P2,7 C7 BM250,140 R20 TA5 D30 R10 D20 TA15 L30 TA30 U25 TA0 U27 TA45 R15 BM245,150 P2,7 C7 BM150,250 TA5 R40 D10 L10 D40 L55 TA45 R26 TA0 U38 BM155,265 P2,7 C7 BM60,160 R20 TA45 D8 TA0 D30 L10 TA20 U37 BM63,165 P2,7"
15
28
265
190
14
13
85
185
19
5
155
265
7
24
173
85
""
"This is a league competition involving"
"West Indies, Australia and three guest"
"nations. Each team plays each other"
"once, with the team at the top of the"
"league winning the trophy."
""
"SOUTH AFRICA & ZIMBABWE"
"C7 BM80,50 TA345 D30 TA15 D175 L10 TA0 D10 TA5 R107 TA345 U100 TA0 R10 U60 TA45 R50 TA0 BM100,120 P2,7"
19
7
130
255
14
25
250
180
5
32
230
70
11
14
210
150
""
"This is a small knockout competition"
"involving S.Africa, Sri Lanka and two"
"guest nations. The semi-final is over"
"two legs, the winners of which contest"
"the final over one leg. "
""
"ENGLAND"
"C7 BM110,50 TA15 D70 TA0 D10 L20 TA340 R30 TA320 R45 TA5 D35 TA350 L30 D30 R20 TA45 R30 TA0 R70 TA15 D25 TA155 U70 TA0 L35 D8 TA65 D35 L16 BM50,100 P2,7"
9
8
80
130
21
19
180
297
12
8
50
150
23
15
170
302
"This is England's home series where"
"your team has a good chance to reach"
"a high position in the international"
"table. It involves playing three games"
"against the other nation, where the"
"winner is the team which wins the most"
"games."
"AUSTRALIA"
"C7 BM25,170 M60,250 M125,220 M165,220 M215,260 M270,260 M295,180 M265,140 M245,90 M220,130 M185,120 M195,100 M150,100 M130,115 M110,115 M25,170 BR10 P2,7"
18
16
195
240
13
28
288
177
18
3
58
235
16
29
277
225
""
"This competition is played on a league"
"basis between Austrailia, New Zealand"
"and a guest nation. Each team plays"
"each other twice and the top two teams"
"contest the final over one leg."
""
"INDIA & PAKISTAN"
"C7 BM10,130 TA25 R60 D70 TA45 L10 TA5 D15 R20 TA5 D70 TA45 D25 R35 TA340 U60 TA30 R60 TA355 U25 R20 U50 R23 BM150,96 P2,7"
15
10
130
200
7
6
40
105
15
25
180
195
19
24
170
250
"India, Pakistan, Sri lanka and three"
"guest nations compete in this league"
"and cup competition. They are split"
"into two leagues of three teams with"
"the top two in each league qualifying"
"for the semi-finals, the winners of"
"which contest the final."
"This is the most important tournament"
"in the international one-day calendar."
"It begins with a league between the"
"eight top teams in the world. The top"
"four in the league play each other in"
"the semi-finals, the winners of which"
"contest the World Cup Final."
" cover drives "
" off-drives "
" on-drives "
" pulls "
" sweeps "
" leg glances "
" edges "
" cuts "
" defends "
" pushes "
" fends off "
" blocks "
" plays "
" misses the ball which comes off the pads "
" pulls the ball over mid-wicket and over the boundary for 6 runs"
" hoists the ball over the bowler and in to the stands for 6 runs"
" cuts the ball over the covers for 6 runs"
"a short pitched delivery "
"a good length delivery "
"an over-pitched delivery "
"a full toss "
"a slower delivery "
"a Yorker "
"straying down the leg side"
"on a good line"
"outside the off-stump"
"LBW appeal turned down to a "
"leg break pitching outside leg stump"
"straight ball hitting the batsman on the knee roll"
"delivery possibly missing off stump"
"A good "
"A bad "
"throw from the fielder at "
" hits "
" misses "
"the stumps"
"...and is dropped at "
"cover point"
"mid-off"
"mid-on"
"mid-wicket"
"square leg"
"short leg"
"slip"
"gulley"
"extra cover"
"long off"
"long on"
"deep mid-wicket"
"deep square leg"
"long leg"
"third man"
"cover"
0
2
2
3
2
4
0
4
0
1
3
5
0
1
0
1


